application_id,form_name,document_name,form_nik,document_nik,form_birth_date,document_birth_date,document_status,expected_status
KYC0204,Budi Santoso,Budi Santoso,5997062962015336,5997062962015336,2004-08-21,2004-08-21,expired,reject
KYC0267,Nadia Maharani,Nadia Maharani,8043416518275539,3733343333952111,2001-09-25,2001-09-25,active,reject
KYC0153,Budi Santoso,Budi Santaso,5819956046618398,5819956046618398,1999-05-11,1999-05-11,active,review
KYC0010,Fajar Nugroho,Fajar Nugroho,0391171822782489,0391171822782489,2003-02-14,2003-02-14,active,approve
KYC0234,Yusuf Maulana,Yusuf Maulana,6091779827080869,6091779827080869,2003-05-10,2003-05-10,expired,reject
KYC0227,Hendra Wijaya,Hendra Wijaya,3001197218114374,3001197218114374,2001-09-25,1997-01-12,active,reject
KYC0197,Rina Oktaviani,Rina Oktaviini,6522395590599293,6522395590599293,2003-05-10,2003-05-10,active,review
KYC0110,Andi Saputra,Andi Saautra,1824225358414384,1824225358414384,1999-05-11,1999-05-11,active,review
KYC0006,Fitri Handayani,Fitri Handayani,1395376724238849,1395376724238849,2003-02-14,2003-02-14,active,approve
KYC0176,Joko Susanto,Joka Susanto,2218909275326973,2218909275326973,1998-03-20,1998-03-20,active,review
KYC0238,Taufik Hidayat,Taufik Hidayat,8386384066658004,8386384066658004,2000-07-16,2000-07-16,expired,reject
KYC0058,Hendra Wijaya,Hendra Wijaya,7662702895171870,7662702895171870,1999-05-11,1999-05-11,active,approve
KYC0219,Rina Oktaviani,Rina Oktaviani,9353875842824172,9353875842824172,2001-09-25,2001-09-25,expired,reject
KYC0046,Maya Puspita,Maya Puspita,7520471167190229,7520471167190229,2001-09-25,2001-09-25,active,approve
KYC0183,Nadia Maharani,Nadia Aaharani,1491778507925241,1491778507925241,1998-03-20,1998-03-20,active,review
KYC0222,Lukman Hakim,Lukman Hakim,2521752500743292,2966667600835058,2003-05-10,2003-05-10,active,reject
KYC0290,Putra Aditya,Putra Aditya,5566593983684577,0490824043350488,2003-02-14,2003-02-14,active,reject
KYC0212,Dewi Anggraini,Dewi Anggraini,9960653074505444,9960653074505444,2003-05-10,2003-05-10,expired,reject
KYC0149,Hendra Wijaya,Hendra Wijaaa,0392614293968562,0392614293968562,1998-03-20,1998-03-20,active,review
KYC0166,Dewi Anggraini,Dewi Anggriini,2579050723688767,2579050723688767,2003-02-14,2003-02-14,active,review
KYC0079,Budi Santoso,Budi Santoso,2018366752545991,2018366752545991,1997-01-12,1997-01-12,active,approve
KYC0114,Fitri Handayani,Fitri Handaaani,7321046963259532,7321046963259532,2003-05-10,2003-05-10,active,review
KYC0250,Rina Oktaviani,Rina Oktaviani,6930848872563942,6930848872563942,2003-05-10,2003-05-10,expired,reject
KYC0251,Nadia Maharani,Nadia Maharani,1658039282722992,1658039282722992,2003-05-10,1997-01-12,active,reject
KYC0105,Yusuf Maulana,Yusuf Maalana,5569092755719285,5569092755719285,2003-02-14,2003-02-14,active,review
KYC0043,Vina Aprillia,Vina Aprillia,3495788568557444,3495788568557444,2000-07-16,2000-07-16,active,approve
KYC0282,Sari Melati,Sari Melati,0881474350313650,0881474350313650,1999-05-11,1998-03-20,active,reject
KYC0296,Sari Melati,Sari Melati,0425979270335211,9240514770538338,1997-01-12,1997-01-12,active,reject
KYC0158,Joko Susanto,Joko Susinto,1797968868058911,1797968868058911,2000-07-16,2000-07-16,active,review
KYC0239,Yusuf Maulana,Yusuf Maulana,7359893347212281,6484229405720259,2003-02-14,2003-02-14,active,reject
KYC0018,Taufik Hidayat,Taufik Hidayat,9985435346247510,9985435346247510,2003-05-10,2003-05-10,active,approve
KYC0165,Dimas Pratama,Dimas Paatama,5286692966278282,5286692966278282,2003-05-10,2003-05-10,active,review
KYC0034,Maya Puspita,Maya Puspita,0546688937346706,0546688937346706,2002-11-04,2002-11-04,active,approve
KYC0025,Yusuf Maulana,Yusuf Maulana,4586850142940196,4586850142940196,2002-11-04,2002-11-04,active,approve
KYC0216,Ahmad Fauzan,Ahmad Fauzan,0722903494466574,0722903494466574,2000-07-16,2002-11-04,active,reject
KYC0120,Ahmad Fauzan,Ahmad Aauzan,9749930972896230,9749930972896230,1998-03-20,1998-03-20,active,review
KYC0008,Nadia Maharani,Nadia Maharani,4801845146270482,4801845146270482,2004-08-21,2004-08-21,active,approve
KYC0091,Taufik Hidayat,Taufik Hidayat,8168505423573322,8168505423573322,1998-03-20,1998-03-20,active,approve
KYC0047,Budi Santoso,Budi Santoso,3186999386774964,3186999386774964,1997-01-12,1997-01-12,active,approve
KYC0074,Dewi Anggraini,Dewi Anggraini,4998569847896118,4998569847896118,2000-07-16,2000-07-16,active,approve
KYC0094,Yusuf Maulana,Yusuf Maulana,6886239240758181,6886239240758181,2001-09-25,2001-09-25,active,approve
KYC0077,Rudi Kurniawan,Rudi Kurniawan,4519832731585149,4519832731585149,2000-07-16,2000-07-16,active,approve
KYC0287,Andi Saputra,Andi Saputra,5391037170586509,5391037170586509,2001-09-25,2001-09-25,expired,reject
KYC0061,Dewi Anggraini,Dewi Anggraini,3869222196937923,3869222196937923,2003-05-10,2003-05-10,active,approve
KYC0078,Kartika Sari,Kartika Sari,8998094024455022,8998094024455022,2003-02-14,2003-02-14,active,approve
KYC0064,Gilang Ramadhan,Gilang Ramadhan,3953394210470952,3953394210470952,1998-03-20,1998-03-20,active,approve
KYC0235,Yusuf Maulana,Yusuf Maulana,2922169958669346,2922169958669346,2002-11-04,2004-08-21,active,reject
KYC0230,Rina Oktaviani,Rina Oktaviani,7296590277167014,8993588916375628,2002-11-04,2002-11-04,active,reject
KYC0112,Eka Wulandari,Eka Wulanaari,9690784473647102,9690784473647102,2003-05-10,2003-05-10,active,review
KYC0232,Joko Susanto,Joko Susanto,6317797177517016,8801994883755037,2003-02-14,2003-02-14,active,reject
KYC0181,Putra Aditya,Putri Aditya,5691463031617990,5691463031617990,2001-09-25,2001-09-25,active,review
KYC0145,Ahmad Fauzan,Ahmad Fiuzan,3875099770088600,3875099770088600,2004-08-21,2004-08-21,active,review
KYC0240,Andi Saputra,Andi Saputra,9479851583281826,9479851583281826,2004-08-21,2004-08-21,expired,reject
